Points0,Points1,Points2,,intensity,filtered
143,194.3582511,50,,1031.9698,1.8536
163,194.3582511,70,,964.7144,7.773
162,194.3582511,95,,1158.1272,0.1462
138,194.3582511,110,,1084.4886,2.4114
107,194.3582511,117,,1091.9684,0
97,194.3582511,104,,927.562,0
114,194.3582511,93,,903.2294,0
121,194.3582511,75,,1067.562,0
178,194.3582511,153,,761.569,0
148,194.3582511,176,,737.8972,0
7,194.3582511,178,,1070.9018,0
2,194.3582511,168,,1056.331,0
17,194.3582511,116,,1184.7944,0
31,194.3582511,41,,1081.2062,0
116,194.3582511,146,,769.625,9.116
118,194.3582511,17,,966.6564,1.6334
149,194.3582511,38,,826.3958,2.7422
194,194.3582511,154,,864.7334,0
55,194.3582511,167,,749.6912,5.2858
59,194.3582511,96,,1083.6286,1.4358
83,194.3582511,119,,908.893,0
111,194.3582511,175,,697.1094,4.2094
81,194.3582511,156,,633.9596,4.967
97,194.3582511,59,,1176.1934,0
27,194.3582511,142,,899.6638,0
80,194.3582511,66,,1123.2644,1.8732
70,194.3582511,124,,798.573,0
61,194.3582511,26,,907.884,0
139,194.3582511,58,,1085.4128,9.714
137,194.3582511,163,,755.3142,5.5928
169,194.3582511,131,,737.5742,0
0,194.3582511,127,,1211.718,0
68,194.3582511,66,,856.8742,0
52,194.3582511,144,,860.5312,3.0988
183,194.3582511,94,,699.2,0
57,194.3582511,61,,1006.2454,3.1644
94,193.7940762,0,,1323.9722,0
174,193.7940762,8,,934.0556,0
97,193.7940762,5,,1254.4998,13.4436
103,193.7940762,27,,1240.7282,0
143,193.7940762,50,,1027.1984,0
163,193.7940762,70,,959.3728,0
162,193.7940762,95,,1147.8416,0
138,193.7940762,110,,1088.38,3.8914
107,193.7940762,117,,1081.9156,0
97,193.7940762,104,,918.6964,0
114,193.7940762,93,,899.0812,0
121,193.7940762,75,,1063.1214,0
178,193.7940762,153,,751.444,0
148,193.7940762,176,,724.3444,0
7,193.7940762,178,,1046.8272,0
2,193.7940762,168,,1058.7752,2.4442
17,193.7940762,116,,1178.3886,0
31,193.7940762,41,,1075.179,0
116,193.7940762,146,,757.9864,0
118,193.7940762,17,,960.996,0
149,193.7940762,38,,830.138,3.7422
194,193.7940762,154,,862.881,0
55,193.7940762,167,,756.7002,7.009
59,193.7940762,96,,1081.0698,0
83,193.7940762,119,,913.0072,4.1142
111,193.7940762,175,,702.4718,5.3624
81,193.7940762,156,,627.6228,0
97,193.7940762,59,,1175.716,0
27,193.7940762,142,,896.4734,0
80,193.7940762,66,,1119.651,0
70,193.7940762,124,,790.7194,0
61,193.7940762,26,,902.8608,0
139,193.7940762,58,,1078.6128,0
137,193.7940762,163,,745.988,0
