Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,Cell 30,Cell 31,Cell 32,Cell 33,Cell 34,Cell 35,Cell 36,Cell 37,Cell 38,Cell 39
352.951,682.223,775.213,1313.594,957.343,1118.794,1452.021,1594.603,1380.346,1244.5,1164.817,1017.278,836.5,757.102,699.88,635.871,856.191,767.01,687.336,688.039,704.336,649.404,556.544,696.982,468.779,511.5,673.947,881.453,826.319,1115.066,840.471,839.546,627.671,625.246,516.979,394.26,674.688,448.991,201.993
351.725,671.2,779.449,1296.624,951.569,1122.113,1432.144,1576.524,1393.712,1243.043,1163.47,1024.06,852.317,762.312,702.308,637.957,866.6,767.519,692.179,692.353,712.405,641.815,560.175,688.866,472.106,508.237,676.015,882.613,831.891,1131.255,847.661,837.681,629.199,628.627,517.582,397.774,675.643,451.259,202.662
354.48,670.577,785.537,1286.564,950.382,1133.32,1418.65,1561.294,1407.635,1246.109,1166,1033.023,870.077,765.594,702.639,638.65,878.052,766.115,701.014,702.765,718.336,633.099,560.344,682.839,476.606,504.638,680.293,885.861,836.457,1150.642,851.397,842.819,634.527,630.341,525.301,398.219,678.027,456.161,207.404
359.137,676.862,792.074,1291.857,954.686,1148.742,1414.103,1552.714,1416.692,1252.5,1174.33,1048.113,887.856,766.352,699.414,638.279,889.296,765.827,712.621,717.608,722.664,627.126,558.713,682.92,481.654,504.75,685.917,893.387,841.087,1170.314,851.364,851.782,642.678,634.381,541.185,399.719,684.179,466.089,215.125
362.99,684.285,799.213,1313.391,963.373,1158.979,1416.495,1552.389,1417.74,1260.862,1187.209,1071.639,903.433,763.727,693.759,638.386,898.217,768.558,723.814,735.392,726.043,626.629,558.256,687.884,488.192,512.588,692.511,907.226,847.116,1190.058,847.62,860.143,649.822,644.079,563.884,403.699,695.75,481.214,223.037
364.49,689.154,807.493,1341.895,973.804,1156.546,1421.206,1560.333,1414.221,1268.71,1200.991,1101.571,914.846,757.062,688.699,640.221,902.252,773.49,730.993,754.794,728.491,630.788,560.706,693.482,495.875,526.338,698.677,925.781,854.681,1208.051,842.066,866.148,653.24,657.738,588.418,408.671,710.42,498.741,228.419
363.706,691.146,815.699,1363.391,983.176,1141.825,1425.505,1574.214,1412.452,1273.841,1212.522,1132.165,921.173,747.305,686.767,643.707,901.209,778.308,732.121,772.588,729.397,636.152,565.562,697.429,502.962,539.125,702.714,944.022,862.13,1220.036,837.413,870.643,653.541,669.96,608.719,412.842,722.759,513.688,230.963
362.333,693.154,820.515,1369.226,989.324,1121.278,1429.433,1588.556,1413.856,1276.21,1220.8,1156.286,920.923,738.125,687.887,647.743,897.078,780.519,727.9,784.127,728.655,639.503,571.594,701.554,507.625,545.237,703.992,957.117,866.659,1223.248,835.81,874.736,653.925,676.397,620.61,415.849,727.616,521.393,232.066
363.137,697.4,818.904,1360.15,990.833,1102.237,1433.052,1598.056,1415.471,1279.529,1225.774,1167.767,912.885,733.75,690.353,651.521,891.635,777.606,721.829,785.98,726.078,640.94,577.169,708.259,509.5,544.412,703.85,962.431,864.971,1218.591,836.554,877.537,656.938,676.389,622.836,418.096,724.955,520.438,232.735
368.588,702.231,811.007,1342.97,986.814,1089.227,1436.598,1601.389,1413.25,1287.457,1226.913,1164.624,898.587,736.266,693.053,654.621,885.061,768.654,717.893,778.745,721.328,643.523,581.188,717.143,510.048,542.225,703.436,960.197,856.036,1209.92,837.488,876.643,661.534,672.214,616.548,419.39,720.107,513.366,233.118
