Points0,Points1,Points2,cell,,,comm0,proc_300_cor7,proc_300_cor9,intensity
1.353,29.98001332,16.434,13,,,1,5,66,9117.6
1.419,29.98001332,7.557,14,,,1,5,40,10101
1.782,29.98001332,12.804,15,,,1,5,40,10701
2.211,29.98001332,1.023,16,,,0,5,40,8869.9
2.211,29.98001332,9.768,17,,,0,5,9,12332
2.508,29.98001332,13.035,18,,,1,5,9,11813
2.442,29.98001332,7.392,19,,,0,5,27,9944.4
2.475,29.98001332,2.772,20,,,2,5,27,8416.1
2.64,29.98001332,1.551,21,,,0,5,27,9440
2.772,29.98001332,8.382,22,,,0,5,27,10692
2.805,29.98001332,10.461,23,,,0,5,27,12903
3.531,29.98001332,16.797,24,,,1,5,27,9394.2
3.465,29.98001332,8.019,25,,,0,5,27,11082
3.762,29.98001332,7.128,26,,,0,5,27,12151
3.663,29.98001332,4.785,27,,,0,5,27,10128
3.861,29.98001332,12.276,28,,,0,5,9,11764
3.828,29.98001332,7.92,29,,,1,5,9,12260
4.125,29.98001332,5.511,30,,,0,5,9,10688
4.158,29.98001332,0.462,31,,,1,5,9,8602.3
4.29,29.98001332,13.959,32,,,1,5,27,11134
4.356,29.98001332,9.702,33,,,1,5,27,11106
4.587,29.98001332,11.781,34,,,0,5,27,10982
4.785,29.98001332,10.164,35,,,0,5,68,10753
4.917,29.98001332,11.22,36,,,0,5,68,11513
4.983,29.98001332,0.759,37,,,0,5,68,9007.5
5.016,29.98001332,5.412,38,,,0,5,68,10317
5.214,29.98001332,12.441,39,,,1,5,27,11056
5.313,29.98001332,11.715,40,,,0,5,27,11040
5.346,29.98001332,7.227,41,,,2,5,27,10988
5.478,29.98001332,10.725,42,,,0,5,27,12358
5.577,29.98001332,9.108,43,,,0,5,27,10846
5.709,29.98001332,4.158,44,,,0,5,27,9558.6
5.676,29.98001332,5.94,45,,,0,5,27,12325
5.775,29.98001332,4.62,46,,,0,5,27,9887.5
5.907,29.98001332,15.345,47,,,0,5,27,10763
6.006,29.98001332,7.953,48,,,0,5,27,10831
6.138,29.98001332,11.88,49,,,0,5,27,11828
6.072,29.98001332,4.983,50,,,1,5,27,11750
6.336,29.98001332,13.002,51,,,0,5,27,11619
6.567,29.98001332,4.587,52,,,0,5,27,10760
6.798,29.98001332,8.085,53,,,1,5,27,11399
6.666,29.98001332,3.234,54,,,0,5,27,10242
6.765,29.98001332,10.626,55,,,0,5,27,10969
6.831,29.98001332,14.091,56,,,0,5,27,10944
6.93,29.98001332,15.081,57,,,1,5,27,9477.8
7.095,29.98001332,3.234,58,,,0,5,27,10099
7.095,29.98001332,11.319,59,,,0,5,27,11005
7.326,29.98001332,5.775,60,,,0,5,27,10786
7.59,29.98001332,10.527,61,,,0,5,27,11383
7.722,29.98001332,8.184,62,,,1,5,27,10578
7.689,29.98001332,11.748,63,,,0,5,27,11310
7.689,29.98001332,16.401,64,,,1,5,27,8053.1
7.887,29.98001332,12.837,65,,,1,12,27,11205
8.085,29.98001332,4.62,66,,,0,12,27,9341.5
8.25,29.98001332,5.544,67,,,0,5,27,11723
8.415,29.98001332,7.392,68,,,1,5,27,11848
8.646,29.98001332,9.339,69,,,1,5,68,11053
8.547,29.98001332,8.217,70,,,0,5,68,11353
8.514,29.98001332,3.993,71,,,0,5,68,9269.2
8.712,29.98001332,1.716,72,,,0,5,68,8134.4
8.646,29.98001332,5.214,73,,,0,5,68,10495
9.075,29.98001332,7.491,74,,,0,5,68,12376
9.075,29.98001332,12.012,75,,,0,5,68,11765
9.042,29.98001332,10.461,76,,,0,5,68,13411
9.141,29.98001332,13.035,77,,,0,5,68,10401
9.405,29.98001332,4.719,78,,,0,5,68,9517
9.867,29.98001332,3.927,79,,,0,5,68,8994.1
9.867,29.98001332,6.765,80,,,0,5,68,11187
10.329,29.98001332,4.455,81,,,0,5,68,9962.4
10.56,29.98001332,0.891,82,,,2,5,68,7950.4
10.923,29.98001332,3.531,83,,,0,5,68,9892.7
10.956,29.98001332,7.59,84,,,0,5,68,11155
11.451,29.98001332,9.438,85,,,1,5,68,11190
11.484,29.98001332,4.257,86,,,0,5,68,10282
11.682,29.98001332,16.335,87,,,1,5,68,8070.2
11.715,29.98001332,6.204,88,,,0,5,68,10949
11.814,29.98001332,5.412,89,,,0,25,68,10314
12.243,29.98001332,10.725,90,,,1,25,68,11024
12.507,29.98001332,5.61,91,,,0,5,68,10258
12.705,29.98001332,3.729,92,,,0,5,68,8829.1
12.837,29.98001332,5.082,93,,,1,5,68,9982.6
12.87,29.98001332,1.353,94,,,2,5,68,8304.9
13.332,29.98001332,7.656,95,,,0,5,68,10810
13.299,29.98001332,14.52,96,,,1,23,68,9875
13.563,29.98001332,16.863,97,,,1,23,68,7829.3
13.53,29.98001332,10.098,98,,,0,23,68,13970
13.629,29.98001332,9.372,99,,,0,5,68,11894
13.728,29.98001332,10.791,100,,,0,5,68,11780
13.893,29.98001332,5.082,101,,,0,26,42,9425.4
13.959,29.98001332,6.468,102,,,1,26,42,10345
14.454,29.98001332,0.726,103,,,0,26,42,7888.9
14.388,29.98001332,4.29,104,,,0,26,42,9730.8
14.388,29.98001332,14.355,105,,,1,26,42,9059.6
14.652,29.98001332,10.626,106,,,0,26,68,12599
14.751,29.98001332,8.58,107,,,0,26,68,10934
