Cell#1,Cell#2,Cell#3,Cell#4,Cell#5,Cell#6,Cell#7,Cell#8,Cell#9,Cell#10,Cell#11,Cell#12,Cell#13,Cell#14,Cell#15,Cell#16,Cell#17,Cell#18,Cell#19,Cell#20,Cell#21,Cell#22,Cell#23,Cell#24,Cell#25,Cell#26,Cell#27,Cell#28,Cell#29,Cell#30,Cell#31,Cell#32,Cell#33,Cell#34,Cell#35,Cell#36,Cell#37,Cell#38,Cell#39,Cell#40
0,0,0.15,1.8696,0,0,4.8206,11.1456,0,3.197,8.3102,0,3.55,0,0,0,0,0,0,0,2.5526,0.9882,0,6.4,0,4.572,0,0,5.4552,6.6916,7.8894,0,0,0,0,0,0,0,0,0
0,0.8554,0,3.618,0,0,2.5906,4.5114,0,0,0,0,0,3.2888,3.0688,0,0,0,4.0136,1.6146,0,0,0,3.509,0,8.2438,0,0,3.2944,0,0,0,0,0,1.5886,0,0,0,0,0.7356
0.2388,0,10.4186,2.7484,0,0,12.0602,7.9828,1.6962,5.3678,8.3484,2.8548,14.7038,5.9472,1.9078,5.9788,0,0,0.6956,0,0.1566,18.0976,20.2,0,4.6714,23.3032,0,8.1952,11.9542,10.9232,0,0,0,14.4478,15.5458,1.3868,0,7.7748,2.8292,0
0,1.4306,9.9374,8.4606,12.9644,16.146,35.0842,31.7856,63.7398,199.6394,61.3724,25.881,10.7634,98.3946,49.5686,57.5904,55.498,25.0938,54.6658,21.8,15.8474,11.1214,54.4374,36.55,74.6096,44.4876,64.914,23.4984,68.4218,17.9318,142.0302,15.5014,26.6076,52.6192,52.7228,56.1738,29.9228,148.3976,26.1186,36.762
9.0444,8.5082,8.5626,32.71,36.3108,26.1012,40.2286,48.82,97.176,275.5066,165.0104,42.5928,20.6596,117.0334,45.047,72.9018,73.373,108.2604,49.1862,30.75,27.6702,29.9428,73.0856,56.8678,122.5072,58.6532,76.4506,49.6806,79.9504,35.9806,240.1518,69.9942,50.4178,54.5668,42.9544,69.9116,47.8972,187.8156,32.2666,71.2476
21.1,20.5416,21.2438,50.6764,31.6126,25.256,29.1112,33.4886,101.5234,257.1372,175.2932,48.0334,12.725,121.6946,54.4982,64.348,59.1616,127.854,60.3612,31.3916,19.1114,12.1952,65.691,67.3678,135.257,45.975,73.319,52.887,75.3752,33.217,258.2946,78.3566,41.1974,48.4,57.6544,97.4786,43.0342,171.2096,37.7104,78.8166
24.8834,17.6972,33.85,36.1102,26.2928,30.6428,24.1016,34.2056,85.1174,202.0716,135.9292,38.6358,17.946,95.1112,32.6528,48.8308,45.4404,118.3812,40.7228,29.3584,26.0124,26.8976,54.466,38.9714,111.9786,36.9624,68.5418,30.6532,61.9828,27.8988,226.1268,88.8088,50.838,37.5166,39.363,68.4392,43.14,138.0578,40.2312,82.2334
0,11.6362,0.8938,30.1326,24.45,12.319,14.4588,26.8514,50.015,164.2834,109.8896,28.0976,0,57.5222,13.3196,29.9848,25.3424,90.2686,13.9522,21.7624,29.8516,2.6286,17.209,51.7144,82.919,12.178,46.8886,22.5306,37.859,17.1706,184.9036,56.4928,21.2684,9.9166,8.64,44.5016,28.6458,91.4638,21.8666,54.062
18.3556,22.539,14.7626,17.391,4.3392,0,0,0,0,0,36.657,0,6.0616,0,0,0,0,54.0188,0,0,0,10.719,0,2.4768,0,0,0,1.0854,0,0,0,31.4146,0,0,0,0,0,0,4.9356,6.4142
0,8.2862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
