cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40
21.0388,-3.65,9.1312,-14.9596,-6.641,-6.9866,-2.5984,-0.0172,-0.5158,-2.2744,-2.6654,-3.6118,5.8328,0.8722,-4.2922,-3.723,5.8404,2.1438,0.9432,-10,-5.5876,5.4834,2.3108,-3.7802,3.4262,4.0562,5.2532,-9.5936,3.6076,8.9402,-1.9518,0.7884,9.0356,6.2762,-1.2914,8.3934,1.4286,5.4264,-2.9418,4.0952
-19.7222,8.3222,6.0314,-11.7058,-10.7518,-6.717,-4.0572,0.3486,-4.8182,-3.9196,1.962,-8.9118,-4.3788,3.1028,-4.3334,-2.4518,-10.0578,0.0146,-4.416,0.7082,-4.0578,-3.9882,-2.5072,6.816,-6.6048,-1.0124,1.2936,-5.1644,-0.5496,-12.8598,-0.0252,-2.3854,-5.757,-4.3738,-4.2544,-4.787,-0.9428,-1.7,3.6978,-6.5428
1.15,7.6472,-0.8936,-1.3664,0.9322,-0.7844,-2.6316,5.0516,-4.072,-1.07,-2.2104,2.2048,4.6384,-13.6638,-14.8038,-0.8172,-14.3962,-3.023,-12.2682,-9.4876,1.3732,7.369,3.0124,3.275,-7.8644,-1.4344,6.6632,-2.15,-5.1172,-19.9026,-2.7928,2.7912,0.3722,-6.3666,-12.3742,-2.3508,-4.5942,-1.4772,1.677,-5.3382
-29.4446,3.3416,-23.5,14.9168,9.7,-9.7462,-0.6634,-1.683,-7.161,-4.5736,2.4862,4.1214,-2.2864,5.2862,4.596,1.4328,-15.4076,-5.8458,-5.6044,13.1,-4.9216,-5.4572,1.5162,3.018,-12.2452,0.9376,-4.6634,1.2242,1.822,-11.261,-0.4052,-9.4724,-24.0912,2.0476,-10.8742,-6.8426,-3.6028,4.0338,-8.2416,-7.662
3.639,-1.875,-7.2314,-3.7124,2.359,-6.6426,-4.3048,-8.5114,3.2932,-2.4584,-4.4258,-7.3452,-3.123,-10.0028,-2.9216,-2.575,-0.177,-0.977,-2.2478,-3.352,7.101,5.4738,9.4232,-5.8464,-2.369,-4.3594,-5.2202,-2.958,0.7124,-16.1428,-5.7984,8.7188,7.1822,-1.7714,0.88,-1.0164,8.26,-1.2506,1.2374,-0.4644
-13.011,-1.186,-1.3812,6.5326,1.5572,-2.928,1.8586,-3.5056,-5.7082,2.7108,0.031,-4.1072,-9.7078,-5.3056,-4.351,4.6096,-3.3942,2.2834,-3.2114,0.5728,2.2762,1.6832,-2.209,4.3088,-7.7594,-8.703,-1.714,11.6854,-7.2686,-3.6464,1.5178,-4.3738,-7.6532,-3.2332,0.8914,-2.4426,-2.2114,-5.0084,0.4626,-6.4618
15.9334,-4.4972,-8.2938,4.7978,0.534,7.9102,-1.2316,-4.7942,2.4964,-0.8322,-0.2966,-6.2452,-3.5232,2.9194,13.4256,1.4864,13.4058,-6.098,9.7454,4.4272,0.5692,-11.6976,4.6554,-6.2696,0.662,-5.3188,5.524,0.3532,-1.8646,-9.7634,2.5984,3.9448,-0.1416,4.9118,4.9714,-2.9474,-1.4714,2.2326,-4.6708,5.6976
-0.4944,-5.2806,-10.85,-4.0426,-5.5786,-0.573,-2.4604,5.2828,2.1698,-2.5534,2.0552,-5.6596,-5.8614,4.4554,6.896,0.0538,10.6596,-2.6104,-0.9386,3.2022,-0.268,-3.188,-2.3356,-6.3108,8.8334,3.4062,-3.914,-0.0226,-0.5228,-0.1438,3.0982,-4.8666,-11.8684,4.6666,6.3258,3.2262,-8.9828,4.7446,-5.4374,-4.1024
18.7056,0.239,33.1436,-9.4202,-5.6358,2.8382,-4.2984,5.7372,3.203,-2.8292,0.7964,1.6524,-5.0328,-6.5196,2.9648,-8.575,11.6404,4.5042,0.8,-5.7916,3.9546,-14.65,-0.4286,-4.6304,13.5666,-0.6032,0.8304,2.4354,0.7314,-5.15,0.932,4.7566,14.5494,-5.6524,14.9742,2.9408,5.5456,-2.0602,7.0792,5.7334
-9.1778,-2.1722,0.15,1.8696,-3.8822,-2.2584,4.8206,11.1456,-0.8316,3.197,8.3102,-2.7216,3.55,-0.514,-11.9374,-0.148,-2.6846,-4.25,-9.2704,-6.2854,2.5526,0.9882,-8.6696,6.4,-2.9476,4.572,-0.0128,-1.35,5.4552,6.6916,7.8894,-6.632,-3.6784,-3.3762,-10.8886,-14.4656,-6.52,-1.5072,-1.4542,-1.1118
