Points0,Points1,Points2,,intensity,filtered
178,394.3582511,153,,848.7652,0
148,394.3582511,176,,741.0528,0
7,394.3582511,178,,1065.4118,0
2,394.3582511,168,,1086.3942,4.7058
17,394.3582511,116,,1202.3576,0
31,394.3582511,41,,1091.3272,0
116,394.3582511,146,,768.95,0
118,394.3582511,17,,979.079,0
149,394.3582511,38,,840.8762,0
194,394.3582511,154,,858.1406,5.4882
55,394.3582511,167,,762.0304,0
59,394.3582511,96,,1092.916,0.1606
83,394.3582511,119,,913.6026,0
111,394.3582511,175,,715.3998,0
81,394.3582511,156,,633.3142,0
97,394.3582511,59,,1206.8468,5.6468
27,394.3582511,142,,927.54,0
80,394.3582511,66,,1120.178,0
70,394.3582511,124,,831.4784,0
61,394.3582511,26,,935.148,0
139,394.3582511,58,,1055.0506,0
137,394.3582511,163,,752.1596,0
169,394.3582511,131,,734.8116,0
0,394.3582511,127,,1246.882,0
68,394.3582511,66,,859.523,0
52,394.3582511,144,,862.9662,0
183,394.3582511,94,,703.2626,0
57,394.3582511,61,,1009.0666,0
94,393.2299013,0,,1314.9168,0
174,393.2299013,8,,988.539,0
97,393.2299013,5,,1257.7438,0
103,393.2299013,27,,1301.2516,0
143,393.2299013,50,,1042.775,0
163,393.2299013,70,,962.281,7.6022
162,393.2299013,95,,1176.7778,0
138,393.2299013,110,,1075.3342,0
107,393.2299013,117,,1107.397,0
97,393.2299013,104,,941.4584,0
114,393.2299013,93,,922.8136,0
121,393.2299013,75,,1060.512,0
178,393.2299013,153,,821.3766,0
148,393.2299013,176,,742.7528,1.7
7,393.2299013,178,,1064.261,0
2,393.2299013,168,,1081.8808,0
17,393.2299013,116,,1189.1134,0
31,393.2299013,41,,1088.2772,0
116,393.2299013,146,,761.5728,0
118,393.2299013,17,,969.0852,0
149,393.2299013,38,,825.0082,0
194,393.2299013,154,,860.6334,2.4928
55,393.2299013,167,,753.0892,0
59,393.2299013,96,,1091.3516,0
83,393.2299013,119,,908.8312,0
111,393.2299013,175,,707.053,0
81,393.2299013,156,,635.2762,1.962
97,393.2299013,59,,1198.316,0
27,393.2299013,142,,923.6248,0
80,393.2299013,66,,1114.1634,0
70,393.2299013,124,,828.9606,0
61,393.2299013,26,,931.2784,0
139,393.2299013,58,,1060.9342,5.8836
137,393.2299013,163,,753.7572,1.5976
169,393.2299013,131,,732.9258,0
0,393.2299013,127,,1232.2918,0
68,393.2299013,66,,861.2544,1.7314
52,393.2299013,144,,857.365,0
183,393.2299013,94,,699.4188,0
57,393.2299013,61,,1003.338,0
94,392.1015515,0,,1318.889,3.9722
174,392.1015515,8,,966.003,0
97,392.1015515,5,,1250.3124,0
103,392.1015515,27,,1282.7482,0
143,392.1015515,50,,1040.8428,0
163,392.1015515,70,,953.3798,0
162,392.1015515,95,,1168.6238,0
138,392.1015515,110,,1077.1686,1.8344
107,392.1015515,117,,1103.1368,0
97,392.1015515,104,,931.2424,0
114,392.1015515,93,,918.95,0
121,392.1015515,75,,1060.9072,0.3952
178,392.1015515,153,,805.6112,0
148,392.1015515,176,,743.75,0.9972
7,392.1015515,178,,1065.2668,1.0058
2,392.1015515,168,,1072.802,0
17,392.1015515,116,,1181.7308,0
31,392.1015515,41,,1079.5604,0
116,392.1015515,146,,760.3908,0
118,392.1015515,17,,966.4874,0
149,392.1015515,38,,817.0082,0
194,392.1015515,154,,861.8596,1.2262
55,392.1015515,167,,750.0874,0
59,392.1015515,96,,1090.9034,0
83,392.1015515,119,,903.6502,0
111,392.1015515,175,,707.175,0.122
81,392.1015515,156,,638.0458,2.7696
97,392.1015515,59,,1190.4128,0
27,392.1015515,142,,916.5334,0
80,392.1015515,66,,1114.4646,0.3012
70,392.1015515,124,,818.5588,0
61,392.1015515,26,,924.3972,0
139,392.1015515,58,,1062.362,1.4278
137,392.1015515,163,,755.75,1.9928
169,392.1015515,131,,724.9544,0
0,392.1015515,127,,1225.987,0
68,392.1015515,66,,860.2858,0
52,392.1015515,144,,851.524,0
183,392.1015515,94,,699.6938,0.275
57,392.1015515,61,,996.3952,0
94,390.9732017,0,,1324.15,5.261
174,390.9732017,8,,959.3474,0
97,390.9732017,5,,1248.525,0
103,390.9732017,27,,1272.5348,0
143,390.9732017,50,,1040.3322,0
163,390.9732017,70,,966.2876,12.9078
162,390.9732017,95,,1165.9984,0
138,390.9732017,110,,1083.0086,5.84
107,390.9732017,117,,1104.77,1.6332
97,390.9732017,104,,934.273,3.0306
114,390.9732017,93,,912.6586,0
121,390.9732017,75,,1070.5358,9.6286
178,390.9732017,153,,785.2496,0
148,390.9732017,176,,745.4362,1.6862
7,390.9732017,178,,1073.5354,8.2686
2,390.9732017,168,,1069.4232,0
17,390.9732017,116,,1194.2154,12.4846
31,390.9732017,41,,1087.2604,7.7
116,390.9732017,146,,767.4318,7.041
118,390.9732017,17,,966.3542,0
149,390.9732017,38,,829.3484,12.3402
194,390.9732017,154,,859.3358,0
55,390.9732017,167,,743.3624,0
59,390.9732017,96,,1089.1874,0
83,390.9732017,119,,910.755,7.1048
111,390.9732017,175,,697.9532,0
81,390.9732017,156,,632.5572,0
97,390.9732017,59,,1188.816,0
27,390.9732017,142,,912.3676,0
80,390.9732017,66,,1118.6596,4.195
70,390.9732017,124,,817.098,0
61,390.9732017,26,,918.4088,0
139,390.9732017,58,,1072.714,10.352
137,390.9732017,163,,749.138,0
169,390.9732017,131,,736.5714,11.617
0,390.9732017,127,,1219.7836,0
68,390.9732017,66,,859.7228,0
52,390.9732017,144,,853.9216,2.3976
183,390.9732017,94,,701.448,1.7542
57,390.9732017,61,,1005.769,9.3738
94,389.8448519,0,,1334.9222,10.7722
174,389.8448519,8,,948.0752,0
97,389.8448519,5,,1255.5874,7.0624
103,389.8448519,27,,1257.8808,0
143,389.8448519,50,,1030.1162,0
163,389.8448519,70,,956.9414,0
162,389.8448519,95,,1157.981,0
138,389.8448519,110,,1082.0772,0
107,389.8448519,117,,1097.1894,0
97,389.8448519,104,,928.5984,0
114,389.8448519,93,,906.9708,0
121,389.8448519,75,,1067.7024,0
178,389.8448519,153,,772.5036,0
148,389.8448519,176,,743.4084,0
7,389.8448519,178,,1073.598,0.0626
2,389.8448519,168,,1067.4022,0
17,389.8448519,116,,1190.8252,0
31,389.8448519,41,,1085.1104,0
116,389.8448519,146,,760.509,0
