Points0,Points1,Points2,,intensity,filtered,timeframe,cell
139,29.40761636,58,,1062.362,1.4278,8,33
137,29.40761636,163,,755.75,1.9928,8,34
169,29.40761636,131,,724.9544,0,8,35
0,29.40761636,127,,1225.987,0,8,36
68,29.40761636,66,,860.2858,0,8,37
52,29.40761636,144,,851.524,0,8,38
183,29.40761636,94,,699.6938,0.275,8,39
57,29.40761636,61,,996.3952,0,8,40
94,29.32299013,0,,1324.15,5.261,9,1
174,29.32299013,8,,959.3474,0,9,2
97,29.32299013,5,,1248.525,0,9,3
103,29.32299013,27,,1272.5348,0,9,4
143,29.32299013,50,,1040.3322,0,9,5
163,29.32299013,70,,966.2876,12.9078,9,6
162,29.32299013,95,,1165.9984,0,9,7
138,29.32299013,110,,1083.0086,5.84,9,8
107,29.32299013,117,,1104.77,1.6332,9,9
97,29.32299013,104,,934.273,3.0306,9,10
114,29.32299013,93,,912.6586,0,9,11
121,29.32299013,75,,1070.5358,9.6286,9,12
178,29.32299013,153,,785.2496,0,9,13
148,29.32299013,176,,745.4362,1.6862,9,14
7,29.32299013,178,,1073.5354,8.2686,9,15
2,29.32299013,168,,1069.4232,0,9,16
17,29.32299013,116,,1194.2154,12.4846,9,17
31,29.32299013,41,,1087.2604,7.7,9,18
116,29.32299013,146,,767.4318,7.041,9,19
118,29.32299013,17,,966.3542,0,9,20
149,29.32299013,38,,829.3484,12.3402,9,21
194,29.32299013,154,,859.3358,0,9,22
55,29.32299013,167,,743.3624,0,9,23
59,29.32299013,96,,1089.1874,0,9,24
83,29.32299013,119,,910.755,7.1048,9,25
111,29.32299013,175,,697.9532,0,9,26
81,29.32299013,156,,632.5572,0,9,27
97,29.32299013,59,,1188.816,0,9,28
27,29.32299013,142,,912.3676,0,9,29
80,29.32299013,66,,1118.6596,4.195,9,30
70,29.32299013,124,,817.098,0,9,31
61,29.32299013,26,,918.4088,0,9,32
139,29.32299013,58,,1072.714,10.352,9,33
137,29.32299013,163,,749.138,0,9,34
169,29.32299013,131,,736.5714,11.617,9,35
0,29.32299013,127,,1219.7836,0,9,36
68,29.32299013,66,,859.7228,0,9,37
52,29.32299013,144,,853.9216,2.3976,9,38
183,29.32299013,94,,701.448,1.7542,9,39
57,29.32299013,61,,1005.769,9.3738,9,40
94,29.23836389,0,,1334.9222,10.7722,10,1
174,29.23836389,8,,948.0752,0,10,2
97,29.23836389,5,,1255.5874,7.0624,10,3
103,29.23836389,27,,1257.8808,0,10,4
143,29.23836389,50,,1030.1162,0,10,5
163,29.23836389,70,,956.9414,0,10,6
162,29.23836389,95,,1157.981,0,10,7
138,29.23836389,110,,1082.0772,0,10,8
107,29.23836389,117,,1097.1894,0,10,9
97,29.23836389,104,,928.5984,0,10,10
114,29.23836389,93,,906.9708,0,10,11
121,29.23836389,75,,1067.7024,0,10,12
178,29.23836389,153,,772.5036,0,10,13
148,29.23836389,176,,743.4084,0,10,14
7,29.23836389,178,,1073.598,0.0626,10,15
2,29.23836389,168,,1067.4022,0,10,16
17,29.23836389,116,,1190.8252,0,10,17
31,29.23836389,41,,1085.1104,0,10,18
116,29.23836389,146,,760.509,0,10,19
118,29.23836389,17,,965.023,0,10,20
149,29.23836389,38,,823.6536,0,10,21
194,29.23836389,154,,869.4358,10.1,10,22
55,29.23836389,167,,744.4054,1.043,10,23
59,29.23836389,96,,1082.1928,0,10,24
83,29.23836389,119,,910.6478,0,10,25
111,29.23836389,175,,692.9,0,10,26
81,29.23836389,156,,628.9926,0,10,27
97,29.23836389,59,,1192.4578,3.6418,10,28
27,29.23836389,142,,901.0066,0,10,29
80,29.23836389,66,,1121.3912,2.7316,10,30
70,29.23836389,124,,804.4176,0,10,31
61,29.23836389,26,,911.2956,0,10,32
139,29.23836389,58,,1075.6988,2.9848,10,33
137,29.23836389,163,,749.7214,0.5834,10,34
169,29.23836389,131,,738.24,1.6686,10,35
0,29.23836389,127,,1212.6132,0,10,36
68,29.23836389,66,,858.0572,0,10,37
52,29.23836389,144,,857.4324,3.5108,10,38
183,29.23836389,94,,705.8522,4.4042,10,39
57,29.23836389,61,,1003.081,0,10,40
94,29.15373766,0,,1325.561,0,11,1
174,29.15373766,8,,945.039,0,11,2
97,29.15373766,5,,1241.0562,0,11,3
103,29.15373766,27,,1256.8562,0,11,4
143,29.15373766,50,,1031.9698,1.8536,11,5
163,29.15373766,70,,964.7144,7.773,11,6
162,29.15373766,95,,1158.1272,0.1462,11,7
138,29.15373766,110,,1084.4886,2.4114,11,8
107,29.15373766,117,,1091.9684,0,11,9
97,29.15373766,104,,927.562,0,11,10
114,29.15373766,93,,903.2294,0,11,11
121,29.15373766,75,,1067.562,0,11,12
178,29.15373766,153,,761.569,0,11,13
148,29.15373766,176,,737.8972,0,11,14
7,29.15373766,178,,1070.9018,0,11,15
2,29.15373766,168,,1056.331,0,11,16
17,29.15373766,116,,1184.7944,0,11,17
31,29.15373766,41,,1081.2062,0,11,18
116,29.15373766,146,,769.625,9.116,11,19
118,29.15373766,17,,966.6564,1.6334,11,20
149,29.15373766,38,,826.3958,2.7422,11,21
194,29.15373766,154,,864.7334,0,11,22
55,29.15373766,167,,749.6912,5.2858,11,23
59,29.15373766,96,,1083.6286,1.4358,11,24
