cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40
5.984789916,0,0,0,0,2.64947905,0,0,3.337277703,0,1.605375494,0,0,0,0,1.223846154,0,0,0,0,0,0,0,6.623085687,0.475053064,0,0,0,1.052896113,0,3.548683855,0,0,0.534871795,0,8.913655462,0,0,0,0
0,0.875762176,0,2.709859505,0,0,0,0,0,0,0,1.5761645,0,0,0,4.896774929,0,0,0,0,0,0,0.376180857,0,2.630340073,1.4703433,1.063617207,1.319111111,0,0,0,0,0,2.554188034,0,0,0,0,3.383765568,0
9.757394958,0,0,6.864645033,0,0.29741017,4.991555556,0,0,3.935638481,0.941185771,0,0,0,5.444034794,7.450034188,7.020241135,7.940609516,0,0,0,0,0,0,0,0,0,0.975466799,0,1.656564783,0,0,0,0,0,0.921910364,0,0,0,0.630798535
8.187058824,5.455880245,0.023603604,0,0,0.901477061,0,5.278537299,0,0,0.590245059,5.564862561,0,0,0,1.445339031,0,4.113113184,0.938176808,10.66067595,1.182727273,0,0,0,3.517638857,0,0,0,0,0,0,0.259175758,1.11469697,0.461538462,0,0,0,0,1.052278388,6.488923077
7.358067227,0,0,1.314032078,4.2412324,0,0,0,0,2.150738054,0,5.060417643,0,2.91038282,0,0,0,5.237391425,0,2.908064329,0,0.002381363,0.006371681,5.582217425,0,3.41696567,6.19003309,1.771937076,0,0,0,2.449139394,4.732525253,3.159076923,0,3.623882353,0.413639752,0,2.236102564,0
0,7.666736243,15.11531532,0,3.81111122,2.562078826,0,4.614578255,2.515840577,6.969541261,5.233328063,0,0,0,0,0,1.173966903,0,0,9.412786005,0.236590909,13.68610871,0,0,0,2.26786268,0,3.160914059,0,3.415932901,0,0,0.511414141,1.209059829,3.268600683,0,0,0,1.43592674,5.412498168
25.60285714,0,8.844504505,0,4.734582741,0,1.595989899,0,1.151403644,1.406041865,7.908252964,0,0,7.473370682,9.643668116,0,0,1.082270878,0.312266361,0,1.336818182,0,0,0,0,0.218914729,0,1.563320417,0.432018893,0.652473397,4.684015562,0,0,0,4.338176499,3.344392157,4.689192547,0,0,0
0,0,0,0,5.738990335,0,0,0,2.665525079,0,0,2.81700689,0,0,3.37413717,0,0,0,0.561885955,5.553021286,0,0,4.280591234,4.30867662,1.594743202,7.011059432,0,0,0,0,0,7.828121212,0,0.989435897,0,0,2.320621118,0,0,0
2.028991597,0,0,2.662572423,6.478076829,0.288261843,0,0,6.829623978,0,0,2.763450529,2.207423077,2.688860878,5.653492138,0,0,0,1.813273632,0,0,9.006229508,2.850096454,4.75342008,1.110730498,2.678715393,0.566812957,4.694424905,0,25.06940949,0.449889733,0,5.637070707,6.405333333,0,3.674733894,0,0.244007732,0,0
1.53,0,8.601981982,0,3.16055929,0,0.744606061,0,0,0,6.257407115,0.596519639,0,4.862614379,5.888050853,6.908387464,1.323886525,0,3.596192882,0,0,0,0.005825169,0,7.800740569,0,0,0,1.277734016,25.85306453,0,0,0,0.958940171,0,0,0,0.233293446,1.044542125,0
