Points0,Points1,Points2,,intensity,filtered,timeframe,cell,kmeans
137,70.1,163,,759.1548,0,5,34,1
169,70.1,131,,739.0772,0,5,35,1
0,70.1,127,,1249.5016,0,5,36,1
68,70.1,66,,862.703,0,5,37,1
52,70.1,144,,872.8686,0,5,38,2
183,70.1,94,,706.2104,0,5,39,1
57,70.1,61,,1027.0618,0,5,40,0
94,69.9,0,,1323.4836,0,6,1,1
174,69.9,8,,1006.1612,0,6,2,3
97,69.9,5,,1269.4374,0.9124,6,3,1
103,69.9,27,,1303.4516,0,6,4,1
143,69.9,50,,1043.4482,0,6,5,1
163,69.9,70,,954.6788,0,6,6,1
162,69.9,95,,1178.9176,0,6,7,1
138,69.9,110,,1086.0856,0,6,8,0
107,69.9,117,,1108.015,0,6,9,3
97,69.9,104,,943.5284,0,6,10,1
114,69.9,93,,924.2344,0,6,11,1
121,69.9,75,,1064.4786,0,6,12,2
178,69.9,153,,848.7652,0,6,13,3
148,69.9,176,,741.0528,0,6,14,1
7,69.9,178,,1065.4118,0,6,15,2
2,69.9,168,,1086.3942,4.7058,6,16,2
17,69.9,116,,1202.3576,0,6,17,3
31,69.9,41,,1091.3272,0,6,18,1
116,69.9,146,,768.95,0,6,19,1
118,69.9,17,,979.079,0,6,20,1
149,69.9,38,,840.8762,0,6,21,1
194,69.9,154,,858.1406,5.4882,6,22,1
55,69.9,167,,762.0304,0,6,23,3
59,69.9,96,,1092.916,0.1606,6,24,3
83,69.9,119,,913.6026,0,6,25,1
111,69.9,175,,715.3998,0,6,26,3
81,69.9,156,,633.3142,0,6,27,1
97,69.9,59,,1206.8468,5.6468,6,28,2
27,69.9,142,,927.54,0,6,29,2
80,69.9,66,,1120.178,0,6,30,3
70,69.9,124,,831.4784,0,6,31,1
61,69.9,26,,935.148,0,6,32,3
139,69.9,58,,1055.0506,0,6,33,1
137,69.9,163,,752.1596,0,6,34,1
169,69.9,131,,734.8116,0,6,35,1
0,69.9,127,,1246.882,0,6,36,1
68,69.9,66,,859.523,0,6,37,1
52,69.9,144,,862.9662,0,6,38,0
183,69.9,94,,703.2626,0,6,39,3
57,69.9,61,,1009.0666,0,6,40,0
94,69.7,0,,1314.9168,0,7,1,2
174,69.7,8,,988.539,0,7,2,1
97,69.7,5,,1257.7438,0,7,3,2
103,69.7,27,,1301.2516,0,7,4,1
143,69.7,50,,1042.775,0,7,5,2
163,69.7,70,,962.281,7.6022,7,6,3
162,69.7,95,,1176.7778,0,7,7,0
138,69.7,110,,1075.3342,0,7,8,1
107,69.7,117,,1107.397,0,7,9,0
97,69.7,104,,941.4584,0,7,10,2
114,69.7,93,,922.8136,0,7,11,1
121,69.7,75,,1060.512,0,7,12,1
178,69.7,153,,821.3766,0,7,13,0
148,69.7,176,,742.7528,1.7,7,14,1
7,69.7,178,,1064.261,0,7,15,1
2,69.7,168,,1081.8808,0,7,16,1
17,69.7,116,,1189.1134,0,7,17,1
31,69.7,41,,1088.2772,0,7,18,1
